Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2016,Total,Both Sexes,Odessa (TX),City proper,Estimate - de jure,"Final figure, complete",2017,117871,"1,2"
United States of America,2016,Total,Both Sexes,Oklahoma City (OK),City proper,Estimate - de jure,"Final figure, complete",2017,638367,"1,2"
United States of America,2016,Total,Both Sexes,Olathe (KS),City proper,Estimate - de jure,"Final figure, complete",2017,135473,"1,2"
United States of America,2016,Total,Both Sexes,Omaha (NE),City proper,Estimate - de jure,"Final figure, complete",2017,446970,"1,2"
United States of America,2016,Total,Both Sexes,Ontario (CA),City proper,Estimate - de jure,"Final figure, complete",2017,173212,"1,2"
United States of America,2016,Total,Both Sexes,Orange (CA),City proper,Estimate - de jure,"Final figure, complete",2017,140504,"1,2"
United States of America,2016,Total,Both Sexes,Orlando (FL),City proper,Estimate - de jure,"Final figure, complete",2017,277173,"1,2"
United States of America,2016,Total,Both Sexes,Overland Park (KS),City proper,Estimate - de jure,"Final figure, complete",2017,188966,"1,2"
United States of America,2016,Total,Both Sexes,Oxnard (CA),City proper,Estimate - de jure,"Final figure, complete",2017,207906,"1,2"
United States of America,2016,Total,Both Sexes,Palmdale (CA),City proper,Estimate - de jure,"Final figure, complete",2017,157356,"1,2"
United States of America,2016,Total,Both Sexes,Palm Bay City (FL),City proper,Estimate - de jure,"Final figure, complete",2017,110104,"1,2"
United States of America,2016,Total,Both Sexes,Pasadena (CA),City proper,Estimate - de jure,"Final figure, complete",2017,142059,"1,2"
United States of America,2016,Total,Both Sexes,Pasadena (TX),City proper,Estimate - de jure,"Final figure, complete",2017,153351,"1,2"
United States of America,2016,Total,Both Sexes,Paterson (NJ),City proper,Estimate - de jure,"Final figure, complete",2017,147000,"1,2"
United States of America,2016,Total,Both Sexes,Pearland (TX),City proper,Estimate - de jure,"Final figure, complete",2017,113570,"1,2"
United States of America,2016,Total,Both Sexes,Pembroke Pines (FL),City proper,Estimate - de jure,"Final figure, complete",2017,168587,"1,2"
United States of America,2016,Total,Both Sexes,Peoria (AZ),City proper,Estimate - de jure,"Final figure, complete",2017,164173,"1,2"
United States of America,2016,Total,Both Sexes,Peoria (IL),City proper,Estimate - de jure,"Final figure, complete",2017,114265,"1,2"
United States of America,2016,Total,Both Sexes,Philadelphia (PA),City proper,Estimate - de jure,"Final figure, complete",2017,1567872,"1,2"
United States of America,2016,Total,Both Sexes,Phoenix (AZ),City proper,Estimate - de jure,"Final figure, complete",2017,1615017,"1,2"
United States of America,2016,Total,Both Sexes,Pittsburgh (PA),City proper,Estimate - de jure,"Final figure, complete",2017,303625,"1,2"
United States of America,2016,Total,Both Sexes,Plano (TX),City proper,Estimate - de jure,"Final figure, complete",2017,286057,"1,2"
United States of America,2016,Total,Both Sexes,Pomona (CA),City proper,Estimate - de jure,"Final figure, complete",2017,152494,"1,2"
United States of America,2016,Total,Both Sexes,Pompano Beach (FL),City proper,Estimate - de jure,"Final figure, complete",2017,109393,"1,2"
United States of America,2016,Total,Both Sexes,Port St. Lucie (FL),City proper,Estimate - de jure,"Final figure, complete",2017,185132,"1,2"
United States of America,2016,Total,Both Sexes,Portland (OR),City proper,Estimate - de jure,"Final figure, complete",2017,639863,"1,2"
United States of America,2016,Total,Both Sexes,Providence (RI),City proper,Estimate - de jure,"Final figure, complete",2017,179219,"1,2"
United States of America,2016,Total,Both Sexes,Provo (UT),City proper,Estimate - de jure,"Final figure, complete",2017,116868,"1,2"
